Year, Country, Accident_ID, Accident_Severity, Helmet_Use, Injury_Severity_Score, Road_Type, Weather_Condition, Time_of_Day, Age_of_Driver, Helmet_Law_Enforced, Traffic_Density, Alcohol_Involved, Speed_Limit
2019, Nigeria, ACC396     , Minor            , No        ,                     3, Urban    , Clear            , Night      ,            26, Yes                , High           , No              , 41-60 km/h
2023, Nigeria, ACC397     , Minor            , Yes       ,                    15, Urban    , Foggy            , Night      ,            45, No                 , Low            , No              , 41-60 km/h
2021, Nigeria, ACC398     , Severe           , Yes       ,                     3, Urban    , Clear            , Morning    ,            23, Yes                , Medium         , Yes             , 41-60 km/h
2023, Liberia, ACC399     , Minor            , No        ,                     5, Rural    , Rainy            , Evening    ,            46, Yes                , Medium         , No              , 41-60 km/h
2016, Liberia, ACC400     , Minor            , No        ,                     3, Urban    , Rainy            , Morning    ,            34, Yes                , High           , No              , 61-80 km/h
2023, Liberia, ACC401     , Minor            , Yes       ,                     2, Rural    , Clear            , Evening    ,            33, Yes                , Medium         , No              , 61-80 km/h
2019, Nigeria, ACC402     , Minor            , Yes       ,                    10, Urban    , Clear            , Morning    ,            40, Yes                , Low            , Yes             , 41-60 km/h
2018, Nigeria, ACC403     , Minor            , Yes       ,                     9, Urban    , Rainy            , Night      ,            48, Yes                , High           , No              , 61-80 km/h
2016, Liberia, ACC404     , Moderate         , No        ,                     2, Urban    , Rainy            , Night      ,            20, Yes                , Low            , Yes             , 80+ km/h
2023, Liberia, ACC405     , Moderate         , No        ,                    14, Urban    , Clear            , Evening    ,            38, Yes                , High           , No              , 80+ km/h
2019, Nigeria, ACC406     , Severe           , Yes       ,                    11, Urban    , Rainy            , Morning    ,            43, Yes                , High           , No              , 41-60 km/h
2021, Nigeria, ACC407     , Severe           , No        ,                     2, Urban    , Clear            , Evening    ,            53, Yes                , Low            , No              , 41-60 km/h
2023, Liberia, ACC408     , Minor            , No        ,                    13, Urban    , Rainy            , Night      ,            59, Yes                , Medium         , No              , 41-60 km/h
2019, Liberia, ACC409     , Minor            , Yes       ,                    15, Rural    , Clear            , Morning    ,            54, No                 , Low            , No              , 80+ km/h
2021, Nigeria, ACC410     , Minor            , No        ,                     8, Urban    , Foggy            , Morning    ,            39, No                 , Medium         , No              , <=40 km/h
2018, Liberia, ACC411     , Moderate         , Yes       ,                    15, Rural    , Clear            , Evening    ,            59, Yes                , Medium         , Yes             , 41-60 km/h
2023, Liberia, ACC412     , Minor            , Yes       ,                     9, Urban    , Clear            , Afternoon  ,            29, Yes                , Medium         , No              , 41-60 km/h
2021, Liberia, ACC413     , Moderate         , Yes       ,                     7, Urban    , Clear            , Evening    ,            59, Yes                , High           , No              , 41-60 km/h
2016, Nigeria, ACC414     , Moderate         , Yes       ,                     3, Urban    , Clear            , Night      ,            30, No                 , Medium         , No              , 41-60 km/h
2018, Nigeria, ACC415     , Moderate         , Yes       ,                     9, Urban    , Rainy            , Night      ,            28, Yes                , Medium         , No              , 80+ km/h
2016, Nigeria, ACC416     , Moderate         , No        ,                     3, Urban    , Clear            , Night      ,            33, Yes                , High           , No              , <=40 km/h
2020, Nigeria, ACC417     , Minor            , Yes       ,                     5, Urban    , Foggy            , Night      ,            25, Yes                , High           , Yes             , 41-60 km/h
2017, Nigeria, ACC418     , Fatal            , Yes       ,                     9, Urban    , Clear            , Night      ,            57, Yes                , Low            , No              , <=40 km/h
2023, Nigeria, ACC419     , Severe           , Yes       ,                    12, Urban    , Clear            , Afternoon  ,            57, Yes                , High           , Yes             , <=40 km/h
2021, Nigeria, ACC420     , Minor            , No        ,                    14, Urban    , Clear            , Morning    ,            19, No                 , Low            , No              , 41-60 km/h
2017, Liberia, ACC421     , Severe           , Yes       ,                    14, Rural    , Clear            , Evening    ,            47, Yes                , High           , No              , 41-60 km/h
2017, Liberia, ACC422     , Moderate         , Yes       ,                     3, Rural    , Clear            , Evening    ,            47, Yes                , Low            , No              , 41-60 km/h
2021, Liberia, ACC423     , Severe           , Yes       ,                     7, Rural    , Clear            , Night      ,            29, No                 , Low            , No              , 41-60 km/h
2018, Liberia, ACC424     , Severe           , Yes       ,                    12, Rural    , Clear            , Evening    ,            27, No                 , Medium         , No              , <=40 km/h
2023, Liberia, ACC425     , Moderate         , No        ,                     1, Urban    , Clear            , Night      ,            28, Yes                , Medium         , Yes             , 41-60 km/h
2020, Liberia, ACC426     , Minor            , No        ,                     4, Urban    , Rainy            , Afternoon  ,            32, Yes                , Medium         , No              , 80+ km/h
2016, Liberia, ACC427     , Minor            , Yes       ,                     4, Rural    , Rainy            , Afternoon  ,            33, Yes                , Low            , Yes             , 80+ km/h
2019, Nigeria, ACC428     , Moderate         , No        ,                     7, Urban    , Clear            , Morning    ,            34, No                 , Medium         , No              , 41-60 km/h
2016, Nigeria, ACC429     , Moderate         , No        ,                     8, Urban    , Clear            , Afternoon  ,            43, Yes                , High           , No              , 41-60 km/h
2019, Liberia, ACC430     , Minor            , No        ,                     1, Urban    , Cloudy           , Afternoon  ,            19, No                 , Medium         , Yes             , 80+ km/h
2016, Liberia, ACC431     , Minor            , Yes       ,                     5, Urban    , Rainy            , Morning    ,            29, Yes                , Low            , No              , <=40 km/h
2021, Nigeria, ACC432     , Severe           , Yes       ,                     7, Urban    , Rainy            , Evening    ,            43, Yes                , Medium         , No              , 61-80 km/h
2020, Liberia, ACC433     , Fatal            , Yes       ,                    12, Rural    , Clear            , Night      ,            40, Yes                , Low            , No              , 80+ km/h
2023, Liberia, ACC434     , Moderate         , No        ,                     4, Urban    , Rainy            , Night      ,            35, Yes                , High           , No              , <=40 km/h
2019, Nigeria, ACC435     , Minor            , Yes       ,                    13, Urban    , Rainy            , Evening    ,            49, Yes                , High           , Yes             , <=40 km/h
2023, Liberia, ACC436     , Minor            , Yes       ,                     4, Rural    , Rainy            , Morning    ,            55, Yes                , Medium         , Yes             , 80+ km/h
2023, Nigeria, ACC437     , Minor            , Yes       ,                     4, Urban    , Cloudy           , Evening    ,            20, Yes                , Medium         , No              , 41-60 km/h
2023, Liberia, ACC438     , Fatal            , No        ,                    12, Urban    , Clear            , Afternoon  ,            55, No                 , Medium         , No              , <=40 km/h
2022, Nigeria, ACC439     , Minor            , Yes       ,                     6, Urban    , Clear            , Morning    ,            20, Yes                , Medium         , Yes             , 41-60 km/h
2018, Nigeria, ACC440     , Moderate         , No        ,                     7, Rural    , Rainy            , Morning    ,            47, No                 , High           , No              , 41-60 km/h
2016, Nigeria, ACC441     , Minor            , No        ,                     2, Rural    , Foggy            , Morning    ,            18, Yes                , Medium         , Yes             , 61-80 km/h
2023, Liberia, ACC442     , Moderate         , Yes       ,                    15, Urban    , Clear            , Night      ,            47, Yes                , Medium         , No              , 61-80 km/h
2016, Nigeria, ACC443     , Moderate         , No        ,                     5, Rural    , Clear            , Evening    ,            49, Yes                , Medium         , No              , 80+ km/h
2023, Liberia, ACC444     , Severe           , Yes       ,                     4, Urban    , Clear            , Morning    ,            45, Yes                , Medium         , No              , 41-60 km/h
2019, Liberia, ACC445     , Minor            , No        ,                    15, Rural    , Clear            , Morning    ,            38, No                 , High           , No              , 41-60 km/h
2018, Liberia, ACC446     , Minor            , Yes       ,                    14, Rural    , Rainy            , Morning    ,            30, Yes                , Medium         , No              , 41-60 km/h
2018, Liberia, ACC447     , Minor            , No        ,                    13, Rural    , Rainy            , Evening    ,            44, Yes                , Medium         , Yes             , 41-60 km/h
2021, Nigeria, ACC448     , Fatal            , No        ,                     3, Urban    , Clear            , Night      ,            53, Yes                , Low            , Yes             , <=40 km/h
2022, Nigeria, ACC449     , Severe           , No        ,                     7, Rural    , Clear            , Afternoon  ,            24, Yes                , Medium         , No              , 80+ km/h
2021, Liberia, ACC450     , Moderate         , No        ,                    11, Rural    , Clear            , Night      ,            39, Yes                , Medium         , No              , 61-80 km/h
2021, Liberia, ACC451     , Moderate         , Yes       ,                    12, Urban    , Clear            , Morning    ,            27, No                 , Low            , No              , 41-60 km/h
2021, Nigeria, ACC452     , Moderate         , No        ,                     6, Rural    , Rainy            , Night      ,            56, No                 , Low            , No              , 61-80 km/h
2021, Liberia, ACC453     , Minor            , No        ,                    14, Urban    , Cloudy           , Night      ,            32, Yes                , Medium         , No              , 41-60 km/h
2021, Nigeria, ACC454     , Fatal            , Yes       ,                     7, Rural    , Foggy            , Afternoon  ,            32, Yes                , Medium         , Yes             , 41-60 km/h
2020, Liberia, ACC455     , Moderate         , Yes       ,                     5, Urban    , Clear            , Evening    ,            21, Yes                , Medium         , No              , 61-80 km/h
2018, Liberia, ACC456     , Minor            , No        ,                    13, Rural    , Foggy            , Evening    ,            49, Yes                , Low            , No              , 41-60 km/h
2021, Nigeria, ACC457     , Moderate         , No        ,                     6, Urban    , Rainy            , Night      ,            40, Yes                , Medium         , No              , 80+ km/h
2023, Liberia, ACC458     , Minor            , No        ,                     5, Urban    , Rainy            , Night      ,            23, Yes                , Low            , No              , 61-80 km/h
2018, Nigeria, ACC459     , Minor            , Yes       ,                    14, Urban    , Clear            , Evening    ,            41, Yes                , Medium         , Yes             , 41-60 km/h
2018, Liberia, ACC460     , Severe           , No        ,                     7, Urban    , Clear            , Evening    ,            37, Yes                , Low            , No              , 61-80 km/h
2017, Liberia, ACC461     , Minor            , Yes       ,                     2, Urban    , Clear            , Afternoon  ,            54, Yes                , Low            , No              , <=40 km/h
2020, Liberia, ACC462     , Moderate         , No        ,                    14, Urban    , Clear            , Morning    ,            37, Yes                , Low            , No              , 41-60 km/h
2021, Nigeria, ACC463     , Minor            , Yes       ,                    11, Urban    , Clear            , Night      ,            29, Yes                , Medium         , Yes             , 41-60 km/h
2016, Liberia, ACC464     , Minor            , No        ,                     5, Urban    , Clear            , Evening    ,            50, Yes                , Low            , Yes             , 41-60 km/h
2019, Liberia, ACC465     , Minor            , No        ,                     6, Urban    , Clear            , Night      ,            45, No                 , Medium         , No              , 61-80 km/h
2022, Liberia, ACC466     , Minor            , Yes       ,                     6, Rural    , Rainy            , Night      ,            25, Yes                , Medium         , No              , 41-60 km/h
2023, Liberia, ACC467     , Severe           , No        ,                    15, Urban    , Clear            , Evening    ,            18, Yes                , Medium         , No              , 61-80 km/h
2016, Nigeria, ACC468     , Minor            , Yes       ,                     5, Rural    , Clear            , Afternoon  ,            54, Yes                , Medium         , No              , 41-60 km/h
2020, Nigeria, ACC469     , Moderate         , No        ,                    10, Rural    , Cloudy           , Night      ,            39, No                 , High           , No              , 41-60 km/h
2019, Liberia, ACC470     , Moderate         , No        ,                     7, Urban    , Cloudy           , Afternoon  ,            23, Yes                , Low            , No              , 61-80 km/h
2020, Nigeria, ACC471     , Moderate         , Yes       ,                    10, Urban    , Rainy            , Evening    ,            38, Yes                , Medium         , No              , 41-60 km/h
2023, Liberia, ACC472     , Fatal            , No        ,                     8, Rural    , Cloudy           , Morning    ,            49, Yes                , Low            , No              , 41-60 km/h
2018, Liberia, ACC473     , Severe           , No        ,                     7, Urban    , Rainy            , Morning    ,            52, No                 , Low            , No              , 41-60 km/h
2019, Liberia, ACC474     , Minor            , Yes       ,                     5, Urban    , Cloudy           , Night      ,            32, No                 , Medium         , No              , 41-60 km/h
2018, Nigeria, ACC475     , Minor            , Yes       ,                     1, Urban    , Clear            , Evening    ,            22, Yes                , Medium         , Yes             , <=40 km/h
2023, Nigeria, ACC476     , Minor            , No        ,                    13, Rural    , Clear            , Afternoon  ,            23, No                 , High           , Yes             , 61-80 km/h
2016, Nigeria, ACC477     , Moderate         , No        ,                     5, Urban    , Clear            , Night      ,            42, No                 , Medium         , No              , 41-60 km/h
2023, Nigeria, ACC478     , Minor            , No        ,                    10, Urban    , Clear            , Evening    ,            57, No                 , High           , No              , 41-60 km/h
2016, Nigeria, ACC479     , Moderate         , No        ,                     2, Rural    , Clear            , Evening    ,            46, Yes                , Low            , No              , 80+ km/h
2019, Nigeria, ACC480     , Moderate         , Yes       ,                    13, Rural    , Rainy            , Afternoon  ,            24, Yes                , Low            , Yes             , 41-60 km/h
2019, Nigeria, ACC481     , Minor            , No        ,                     5, Urban    , Rainy            , Night      ,            57, Yes                , Low            , No              , 61-80 km/h
2021, Nigeria, ACC482     , Severe           , Yes       ,                     5, Urban    , Rainy            , Evening    ,            30, No                 , Low            , No              , <=40 km/h
2020, Nigeria, ACC483     , Minor            , Yes       ,                     2, Rural    , Clear            , Evening    ,            55, Yes                , Medium         , Yes             , 41-60 km/h
2021, Liberia, ACC484     , Minor            , Yes       ,                     5, Urban    , Foggy            , Evening    ,            35, Yes                , Medium         , No              , 61-80 km/h
2020, Nigeria, ACC485     , Severe           , Yes       ,                    13, Urban    , Rainy            , Afternoon  ,            19, Yes                , Low            , No              , 41-60 km/h
2021, Nigeria, ACC486     , Moderate         , Yes       ,                     4, Urban    , Clear            , Night      ,            25, No                 , High           , No              , 61-80 km/h
2018, Nigeria, ACC487     , Moderate         , Yes       ,                     1, Rural    , Rainy            , Night      ,            28, No                 , High           , Yes             , 41-60 km/h
2019, Nigeria, ACC488     , Moderate         , No        ,                     3, Urban    , Clear            , Night      ,            50, Yes                , Low            , Yes             , <=40 km/h
2016, Nigeria, ACC489     , Minor            , Yes       ,                     1, Rural    , Clear            , Night      ,            55, No                 , Low            , No              , 41-60 km/h
2020, Nigeria, ACC490     , Severe           , Yes       ,                    12, Rural    , Cloudy           , Morning    ,            44, Yes                , Low            , Yes             , 41-60 km/h
2023, Nigeria, ACC491     , Severe           , Yes       ,                    11, Urban    , Clear            , Morning    ,            37, No                 , Low            , No              , 61-80 km/h
2020, Nigeria, ACC492     , Moderate         , Yes       ,                    15, Urban    , Clear            , Night      ,            29, Yes                , Low            , Yes             , 41-60 km/h
2016, Nigeria, ACC493     , Minor            , Yes       ,                     5, Urban    , Foggy            , Afternoon  ,            48, Yes                , Medium         , No              , 80+ km/h
2021, Nigeria, ACC494     , Moderate         , Yes       ,                     4, Urban    , Rainy            , Morning    ,            44, No                 , Low            , Yes             , 80+ km/h
2020, Nigeria, ACC495     , Minor            , No        ,                     7, Urban    , Clear            , Evening    ,            49, Yes                , Medium         , No              , 41-60 km/h
2022, Liberia, ACC496     , Minor            , No        ,                     5, Rural    , Clear            , Morning    ,            27, No                 , High           , No              , 41-60 km/h
2018, Liberia, ACC497     , Fatal            , No        ,                    10, Urban    , Clear            , Evening    ,            20, Yes                , Medium         , Yes             , 61-80 km/h
2019, Nigeria, ACC498     , Minor            , Yes       ,                    14, Rural    , Rainy            , Night      ,            44, Yes                , High           , No              , 80+ km/h
2016, Nigeria, ACC499     , Fatal            , Yes       ,                     4, Urban    , Clear            , Morning    ,            52, Yes                , Low            , No              , 41-60 km/h
2019, Liberia, ACC500     , Moderate         , No        ,                     2, Urban    , Clear            , Afternoon  ,            48, Yes                , Medium         , No              , 41-60 km/h
